name,type,genre,link
Chet Baker - My Favourite Songs (FULL ALBUM),album-upload,,https://www.youtube.com/watch?v=rcJObrn_P1M
#Paramore Greatest Hits Full Album ~ Best Of #Paramore Playlist,album-upload,,https://www.youtube.com/watch?v=A0PFdLhUBaQ
FooFighters Greatest Hits Full Album 2022 ~ FooFighters Best Songs Collection ~ Rock Songs Playlist,album-upload,,https://www.youtube.com/watch?v=V4FYi5-ltxM
Fleetwood Mac - Greatest Hits (Deluxe Edition),album-upload,,https://www.youtube.com/watch?v=WBKcBR8-dPg
Madonna - The Immaculate Collection | Madonna Greatest Hits (Full Album),album-upload,,https://www.youtube.com/watch?v=0-pXUCkcCgY
"Classic Rock Songs 70s 80s 90s Full Album 🎶 Nirvana, Guns N' Roses, AC/DC, Bon Jovi, Metallica, U2",album-upload,,https://www.youtube.com/watch?v=4blNPNwHdlA
The Best of Al Green - Greatest Hits (Full Album Stream) [30 Minutes],album-upload,,https://www.youtube.com/watch?v=csZV3w_nscg
Enya - The Memory Of Trees [full album],album-upload,,https://www.youtube.com/watch?v=ORfebefohnw
Grateful Dead - The Very Best Of The Grateful Dead [Full Album Greatest Hits],album-upload,,https://www.youtube.com/watch?v=GVF22wIKPKU
K E A N E  Greatest Hits Full Album ~ Best Songs Of K E A N E ~ Soft Rock Playlist,album-upload,,https://www.youtube.com/watch?v=k_CsfcN9Ftg
The Very Best Of ENYA: The Greatest Hits Full Album Ever,album-upload,,https://www.youtube.com/watch?v=6P4RWI-LbrE
Beach House - Bloom [FULL ALBUM STREAM],album-upload,,https://www.youtube.com/watch?v=-3frA_rj918
Beach House - Depression Cherry [FULL ALBUM STREAM],album-upload,,https://www.youtube.com/watch?v=Cy5MiOqarYs
Citizen - As You Please (Full Album Stream),album-upload,,https://www.youtube.com/watch?v=A4zZ2wybq0w
American Football - American Football (LP1) [FULL ALBUM STREAM],album-upload,,https://www.youtube.com/watch?v=QZNYVt87y60
Thievery Corporation - Saudade [Full Album Stream],album-upload,,https://www.youtube.com/watch?v=54ioUruxkOw
Sigur Rós - Valtari [Full Album Stream],album-upload,,https://www.youtube.com/watch?v=jQi77xni1p8
Still Corners - Strange Pleasures [FULL ALBUM STREAM],album-upload,,https://www.youtube.com/watch?v=aQJuGKT7mAw
Iron & Wine - Our Endless Numbered Days [FULL ALBUM STREAM],album-upload,,https://www.youtube.com/watch?v=y9eWoBKsVJ4
Thievery Corporation - The Richest Man in Babylon [Full Album Stream],album-upload,,https://www.youtube.com/watch?v=msoOdQID60I
Thievery Corporation - The Mirror Conspiracy [Full Album Stream],album-upload,,https://www.youtube.com/watch?v=1YqO6DsLmq0
BEACH HOUSE - ONCE TWICE MELODY (FULL ALBUM STREAM AUDIO ONLY),album-upload,,https://www.youtube.com/watch?v=mGVq-3Kye48
